company,job_title,location,job_type,experience_level,salary,requirment_of_the_company,facilities,role
Western Digital,"Principal Engineer, Data Project Management","Batu Kawan, Malaysia",Full Time,Senior-level,55000.0,"Data Analytics,Engineering,Excel,Industrial,Statistics,","Startup environment,,,,",other
Podium,Senior Data Engineer,"Lehi, Utah, Open to Remote",Full Time,Senior-level,115000.0,"APIs,Big Data,Computer Science,Data analysis,Data pipelines,Data quality",",,,,",data engineer
Freeform,Senior Software Engineer (Data Pipeline),"Los Angeles, CA",Full Time,Senior-level,140000.0,"Big Data,CI/CD,Computer Science,Computer Vision,Data pipelines,Data Warehousing","Career development,Equity,Flex hours,Flex vacation,Health care",other
Opera,Senior Data Scientist,"Wroclaw, PL",Full Time,Senior-level,129000.0,"Agile,Airflow,Big Data,BigQuery,Computer Science,Data analysis","Career development,Relocation support,,,",data scientist
Bosch Group,Data Science Lead (Hybrid),"Mount Prospect, IL, United States",Full Time,,63000.0,"A/B testing,Data visualization,Economics,Engineering,Mathematics,Power BI","Career development,Competitive pay,Health care,,",data scientist
Angi,Senior Data Scientist,"Indianapolis, IN - Hybrid",Full Time,Senior-level,,"Big Data,Data Mining,Machine Learning,Mathematics,ML models,PhD","401(k) matching,Career development,Competitive pay,Equity,Flex vacation",data scientist
Visa,Sr Data Engineer,"Bengaluru, India",Full Time,Senior-level,115000.0,"Agile,Big Data,Business Intelligence,Data Mining,Data visualization,Engineering","Career development,Flex hours,Startup environment,,",data engineer
AVIV Group,Data Modeler,"Brussels, Germany",Full Time,Senior-level,62000.0,"Architecture,Data governance,Data management,Engineering,KPIs,Privacy","Flex hours,Flex vacation,,,",other
Mutt Data,Data Engineer,Argentina,Full Time,Mid-level,73000.0,"Airflow,Architecture,AWS,Big Data,BigQuery,CI/CD","Career development,Fitness / gym,Flex hours,Flex vacation,Gear",data engineer
Global Atlantic Financial Group,"VP, Actuarial Modeling and Data Management","Boston, Massachusetts, United States",Full Time,Senior-level,127000.0,"Data management,Excel,Finance,Mathematics,ML models,Privacy","401(k) matching,Career development,Competitive pay,Equity,Fertility benefits",other
REWE International Dienstleistungsgesellschaft m.b.H,Junior Data Science Engineer (m/w/x),"Wien, Austria",Full Time,Entry-level,,"CI/CD,Computer Science,Data pipelines,Deep Learning,Oracle,Pipelines",",,,,",data scientist
Imagen Technologies,Healthcare Data Analyst,Remote,Full Time,Mid-level,60000.0,"Business Intelligence,Engineering,Genetics,Git,Pandas,Python","Salary bonus,Startup environment,,,",data analyst
Sunnova Energy International,Data Scientist,United States,Full Time,Senior-level,129000.0,"Agile,APIs,Architecture,AWS,Big Data,Classification","Career development,,,,",data scientist
DeepL,"Data Analyst | Marketing or Sales (f/m/d) - GER, UK, NL, PL",Remote job,Full Time,Senior-level,92000.0,"Agile,Data analysis,Data visualization,Economics,KPIs,Mathematics","Career development,Team events,,,",data analyst
Gemini,Data Engineer,"Gurgaon, India",Full Time,Senior-level,115000.0,"Airflow,Architecture,AWS,Banking,Big Data,BigQuery","Career development,Competitive pay,Equity,Salary bonus,",data engineer
OpenSea,Senior Data Analyst,Remote,Full Time,Senior-level,135000.0,"Blockchain,Computer Science,Data analysis,Data governance,Data management,Data quality","Equity,,,,",data analyst
Monzo,Senior Data Scientist,"Cardiff, London or Remote (UK)",Full Time,Senior-level,129000.0,"A/B testing,Banking,Data Mining,Finance,Looker,Python","Career development,Conferences,Flex hours,,",data scientist
Channel Factory,Data Analyst - Product Innovation,United States - Remote,Full Time,Mid-level,65000.0,"APIs,AWS,Computer Science,Data analysis,Data pipelines,Excel","Cell phone stipend,Competitive pay,Fitness / gym,Health care,Insurance",data analyst
Confused.com,Lead Data Scientist,"Cardiff, Wales, United Kingdom",Full Time,Mid-level,40000.0,"AWS,Azure,Big Data,Business Intelligence,Computer Science,Data management","Career development,Competitive pay,Conferences,Equity,Health care",data scientist
Riverflex,Data Product Owner,Remote job,Full Time,Senior-level,62000.0,"Computer Science,DataOps,Engineering,Market research,Research,Testing",",,,,",other
Etsy,"Data Scientist, Marketing Analyst","Brooklyn, NY, United States",Full Time,Senior-level,104000.0,"Big Data,Data governance,Data visualization,Engineering,Finance,Hadoop","Career development,Competitive pay,Equity,Salary bonus,",data scientist
Ocorian,Senior Manager - AML/CFT & Data Analyst,"Ebène, Mauritius",Full Time,Senior-level,92000.0,"Agile,Data management,Data quality,Excel,,","Startup environment,,,,",data analyst
PatientPoint,Senior Data Visualization Analyst,"Chicago, Illinois, United States",Full Time,Senior-level,69000.0,"Agile,Computer Science,Data visualization,Engineering,JavaScript,Mathematics","Career development,Competitive pay,,,",other
Fleetio,Senior Data Engineer (Remote),"Birmingham, Alabama, United States - Remote",Full Time,Mid-level,73000.0,"AWS,BigQuery,Business Intelligence,CI/CD,Dagster,Data pipelines","401(k) matching,Career development,Equity,Gear,Health care",data engineer
Databricks,Customer Data Engineer,"Bengaluru, India",Full Time,Senior-level,115000.0,"AWS,Azure,Consulting,Data Analytics,Databricks,Data Warehousing",",,,,",data engineer
Twitch,Data Engineer- Data Platform,Remote (United States),Full Time,Senior-level,105000.0,"Architecture,AWS,Big Data,Business Intelligence,Data pipelines,Data quality","Career development,Equity,Fitness / gym,Flex hours,Flex vacation",data engineer
Instacart,Staff Data Scientist - Marketing,United States - Remote,Full Time,Senior-level,166000.0,"Causal inference,Computer Science,Data Mining,Economics,Machine Learning,Mathematics","Career development,Competitive pay,Equity,Flex hours,Team events",data scientist
SSENSE,"Data Analyst, Customer Experience","Montreal, QC, Canada",Full Time,,80000.0,"Business Intelligence,Computer Science,CX,Data visualization,E-commerce,Engineering","Career development,Startup environment,,,",data analyst
NBCUniversal,Sr. Data Engineer,"New York, NEW YORK, United States",Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,Big Data,Computer Science,Data Analytics","Flex hours,Health care,Insurance,Medical leave,",data engineer
Stripe,"Data Scientist, Terminal",Canada,Full Time,Senior-level,129000.0,"Causal inference,Economics,Engineering,Finance,Machine Learning,PhD","Career development,,,,",data scientist
Metiora,Data Analyst Intern,"Madrid, Spain",Full Time,Entry-level,,"Matplotlib,MongoDB,NumPy,Pandas,Power BI,Python",",,,,",data analyst
DoubleVerify,Jr. CRM Data Quality Specialist,New York,Full Time,Entry-level,43000.0,"Data governance,Data quality,Finance,Research,,","Career development,Equity,Salary bonus,,",other
Pure Integration,Senior Data Analyst,"Reston, VA, United States",Full Time,Senior-level,92000.0,"Computer Science,Consulting,Consulting firm,Data analysis,Data quality,Engineering","Insurance,,,,",data analyst
SAP Fioneer,Data Management Consultant Banking (f/d/m) Financial Services Data Platform FSDM,"Frankfurt, Hessen, Germany - Remote",Full Time,Mid-level,45000.0,"Banking,Data management,MySQL,SQL,,","Career development,Startup environment,,,",other
Publicis Groupe,Data Analyst,"Atlanta, GA, United States",Full Time,Senior-level,92000.0,"Big Data,Computer Science,Data Analytics,Databricks,E-commerce,Economics","Career development,Competitive pay,Flex hours,Flex vacation,Health care",data analyst
Fleetio,Data Analyst (Remote),"Birmingham, Alabama, United States - Remote",Full Time,Mid-level,65000.0,"BigQuery,Business Intelligence,Dagster,Databricks,Data Warehousing,ELT","401(k) matching,Career development,Equity,Gear,Health care",data analyst
Civis Analytics,Lead Applied Data Scientist (Experience with Media Mix Modeling),Remote,Full Time,Senior-level,,"Causal inference,Computer Science,Consulting,Data visualization,Economics,Engineering","401(k) matching,Career development,Competitive pay,Flex hours,Flex vacation",data scientist
NBCUniversal,Data Engineer I,"Englewood Cliffs, NEW JERSEY, United States",Full Time,Senior-level,115000.0,"AWS,Big Data,Computer Science,Data pipelines,DevOps,Engineering","Career development,Flex hours,,,",data engineer
Foxintelligence,Junior Data Analyst,"Paris, Île-de-France, France",Full Time,Mid-level,65000.0,"Classification,Consulting,Data management,Power BI,Python,R",",,,,",data analyst
Visa,Financial Data Analyst,"Foster City, CA, United States",Full Time,Senior-level,69000.0,"Data Analytics,Data visualization,Excel,Finance,PhD,Power BI","Equity,Health care,Insurance,Salary bonus,Wellness",data analyst
Publicis Groupe,Data Engineer,"Chicago, IL, United States",Full Time,,96000.0,"APIs,Azure,Computer Science,Data pipelines,Engineering,ETL",",,,,",data engineer
Sia Partners,Senior Consultant in Data science,"Brussels, Belgium",Full Time,Entry-level,39000.0,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning","Career development,Competitive pay,Salary bonus,,",data scientist
GRAIL,Staff Clinical Data Manager # 3073,"Menlo Park, CA",Full Time,Senior-level,69000.0,"Biology,Computer Science,Data management,Data quality,Data visualization,GCP","401(k) matching,Flex hours,Flex vacation,Health care,Salary bonus",data manager
Motorway,HR Data Analyst,"London, England, United Kingdom",Full Time,,56000.0,"Data analysis,Research,,,,","Career development,Competitive pay,Equity,Fitness / gym,Health care",data analyst
Sia Partners,Consultant in Data Science,"Antwerp, Belgium",Full Time,Entry-level,39000.0,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning","Career development,Competitive pay,Salary bonus,,",data scientist
Shopify,"Staff Engineer, Data Platform","Austin, TX, United States",Full Time,Senior-level,62000.0,"AWS,Azure,BigQuery,Computer Science,Dataflow,Dataproc",",,,,",other
Shopify,"Staff Engineer, Data Platform","Austin, TX, United States",Full Time,Senior-level,62000.0,"AWS,Azure,BigQuery,Computer Science,Dataflow,Dataproc",",,,,",other
Chainalysis,Data Engineer,"Ontario,Canada | Remote-CAN",Full Time,Senior-level,115000.0,"Agile,Airflow,APIs,Architecture,Banking,Blockchain","Career development,,,,",data engineer
Verisk,Data Engineer,"Delhi, India",Full Time,Senior-level,115000.0,"APIs,Architecture,Data pipelines,Engineering,JavaScript,NoSQL","Flex hours,,,,",data engineer
Etsy,"Senior Data Scientist, Marketing Analyst","Brooklyn, NY, United States",Full Time,Senior-level,130000.0,"Big Data,BigQuery,Data governance,Data visualization,Engineering,Finance","Career development,Competitive pay,Equity,Salary bonus,",data scientist
Tide,Lead Data Analyst(Marketing/Growth Analyst),"Hyderabad, Remote",Full Time,Senior-level,92000.0,"A/B testing,Banking,Engineering,FinTech,KPIs,Looker","Career development,Competitive pay,Equity,Flex hours,Flex vacation",data analyst
Lucid Motors,"Data Analyst, Service Analyst","Newark, CA",Full Time,Senior-level,131000.0,"APIs,Business Analytics,Engineering,ETL,Git,Jira","401(k) matching,Competitive pay,Equity,Health care,Insurance",data analyst
Kpler,Senior/Staff Data Engineer,Germany,Full Time,Senior-level,115000.0,"Ansible,AWS,Data pipelines,DevOps,Elasticsearch,Engineering","Competitive pay,Flex vacation,Gear,Medical leave,Parental leave",data engineer
Devbridge,Data Engineer,"Vilnius, Vilnius County, Lithuania",Full Time,Mid-level,73000.0,"Airflow,APIs,AWS,Azure,Data Analytics,Data pipelines","Competitive pay,Health care,Team events,,",data engineer
Similarweb,Data Product Manager,"Tel Aviv, Israel",Full Time,,50000.0,"Architecture,Big Data,Engineering,Machine Learning,Privacy,Python","Career development,Competitive pay,Startup environment,Team events,",other
Publicis Groupe,Data Engineer Analyst,"Bogotá, Colombia",Full Time,Entry-level,59000.0,"APIs,ETL,GCP,Google Cloud,Hadoop,JavaScript",",,,,",data engineer
Freeform,Software Engineer (Data Pipeline),"Los Angeles, CA",Full Time,Senior-level,100000.0,"Big Data,CI/CD,Computer Science,Computer Vision,Data pipelines,Data Warehousing","Career development,Equity,Flex hours,Flex vacation,Health care",other
GumGum,Senior Data Scientist,"Sydney, New South Wales, Australia",Full Time,Senior-level,129000.0,"Computer Science,Data quality,Engineering,Feature engineering,GCP,Machine Learning","Competitive pay,Flex vacation,,,",data scientist
KoBold Metals,Associate Data Scientist,"Lusaka, Zambia",Full Time,Mid-level,60000.0,"Computer Science,Data analysis,EDA,Engineering,Git,GitHub",",,,,",data scientist
Publicis Groupe,Data Engineering Analyst,"New York City, United States",Full Time,Entry-level,52000.0,"AWS,Azure,Data management,Data Warehousing,Engineering,ETL","Career development,Flex hours,Flex vacation,Health care,Startup environment",data engineer
Talan,Talan Consulting  Consultant Senior/Manager  Data Strategy (H/F),"Paris, France",Full Time,Senior-level,62000.0,"Architecture,Consulting,Data governance,Data management,Data strategy,Machine Learning",",,,,",other
6point6,Enterprise Data Architect - 6 month Contract,"London, United Kingdom",Full Time,Senior-level,135000.0,"APIs,Architecture,JSON,Model design,Security,SQL","Competitive pay,Equity,Flex vacation,Health care,Salary bonus",data architect
Branching Minds,Data Engineer II,"New York City, United States - Remote",Full Time,Mid-level,76000.0,"Agile,Airtable,AWS,Databricks,Engineering,PostgreSQL","Career development,Equity,Flex vacation,Startup environment,Transparency",data engineer
Appen,Data Scientist/Machine Learning Engineer,"Toronto, Ontario",Full Time,Senior-level,129000.0,"AWS,Azure,Computer Science,Data management,Data visualization,Deep Learning","Career development,Startup environment,,,",data scientist
Anvl,Data Engineer,"Indianapolis, Indiana, United States - Remote",Full Time,Mid-level,73000.0,"Architecture,AWS,Data Analytics,Data warehouse,DynamoDB,Elasticsearch","Career development,Equity,Flex hours,Health care,Startup environment",data engineer
Pure Integration,Data Analyst,"Reston, VA, United States",Full Time,Senior-level,92000.0,"Computer Science,Consulting,Consulting firm,Data analysis,Data quality,Engineering","Insurance,,,,",data analyst
Podium,"Senior Data Scientist, Product","Lehi, Utah",Full Time,Senior-level,129000.0,"Bayesian,Business Analytics,Classification,Data analysis,Data Analytics,Data Mining","Career development,,,,",data scientist
Riskified,Data Scientist,Tel Aviv,Full Time,,92000.0,"Airflow,Big Data,Classification,Clustering,Computer Science,Databricks","Career development,Equity,Health care,Home office stipend,Insurance",data scientist
Spotify,Data Engineer - Music,New York City,Full Time,Senior-level,116000.0,"Agile,Architecture,AWS,Big Data,BigQuery,Computer Science","Career development,Equity,Flex hours,Flex vacation,Health care",data engineer
Syngenta Group,Data Manager,"Pune, India",Full Time,,77000.0,"Biology,Consulting,Data analysis,Data Analytics,Data management,Data quality","Career development,Insurance,,,",data manager
PSI CRO,Salesforce Administrator/Data Specialist,"Warsaw, Poland",Full Time,,70000.0,"Computer Science,Data governance,Power BI,Research,,","Career development,,,,",other
SpaceX,Data Engineer (Starlink),"Redmond, WA",Full Time,Senior-level,120000.0,"Clustering,Computer Science,Data analysis,Data Analytics,Engineering,ETL","Career development,Equity,Health care,Insurance,Medical leave",data engineer
Sunnova Energy International,Data Engineer,United States,Full Time,Senior-level,115000.0,"Agile,APIs,Architecture,AWS,Azure,CI/CD","Career development,,,,",data engineer
Talan,Data Engineer confirmé BI - BIG DATA,"Toulouse, France",Full Time,Senior-level,115000.0,"Agile,Angular,Big Data,Blockchain,ETL,Hadoop",",,,,",big data engineer
Payplug,Data Engineer,"Paris, Île-de-France, France",Full Time,Entry-level,59000.0,"Architecture,BigQuery,CI/CD,Docker,Engineering,GCP",",,,,",data engineer
Sigma Software,Middle Data Engineer (Healthcare domain),"Lviv, Ukraine",Full Time,Mid-level,73000.0,"Architecture,Azure,Big Data,BigQuery,Data analysis,Databricks",",,,,",data engineer
METRO/MAKRO,Senior Data Analyst (Pricing),"Madrid, Spain",Full Time,Senior-level,92000.0,"BigQuery,Data pipelines,Data visualization,ELT,Engineering,ETL",",,,,",data analyst
Fannie Mae,People Analyst Data Visualization Senior Associate (Open to Remote),"Washington, DC, United States",Full Time,Mid-level,51000.0,"Architecture,AWS,Business Intelligence,Classification,Consulting,Data visualization","Career development,Flex hours,Health care,Home office stipend,",other
Veeva Systems,Data Engineer,Portugal - Lisbon,Full Time,Senior-level,115000.0,"Airflow,AWS,Business Analytics,Databricks,DataOps,Data pipelines","Career development,Fitness / gym,Health care,Insurance,",data engineer
Bosch Group,Group Manager Data Analyst India,"Bengaluru, India",Full Time,Senior-level,55000.0,"Data Analytics,Industrial,,,,",",,,,",data analyst
Statkraft,Data Analyst,"London, United Kingdom",Full Time,Entry-level,48000.0,"APIs,Big Data,Data analysis,Data quality,GitHub,Grafana","Career development,Flex hours,Startup environment,,",data analyst
Lendi Group,Senior Data Engineer,"Remote, Australia",Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,AWS,Azure,Data governance","Career development,Flex hours,Parental leave,,",data engineer
Publicis Groupe,"Vice President Director, Data Scientist","Philadelphia, PA, United States",Full Time,Executive-level,92000.0,"AWS,Big Data,Business Analytics,Hadoop,Machine Learning,Mathematics","Career development,,,,",data scientist
Bosch Group,Data Scientist,"Lisboa, Portugal",Full Time,Entry-level,40000.0,"Big Data,Computer Science,CX,Cybernetics,Engineering,Industrial","Flex hours,Startup environment,,,",data scientist
Sia Partners,Consultant Data Engineer,"Brussels, Belgium",Full Time,Entry-level,39000.0,"APIs,Architecture,AWS,Azure,Big Data,CI/CD","Startup environment,,,,",data engineer
Adevinta,Data Analyst Coches.net,"Barcelona, Spain",Full Time,Senior-level,92000.0,"Airflow,Big Data,Classification,Clustering,Data analysis,Databricks","Career development,Competitive pay,Conferences,Fitness / gym,Gear",data analyst
YouGov,Graduate Data Analyst,"Navi Mumbai, India",Full Time,Entry-level,48000.0,"Data analysis,Excel,Market research,Privacy,Research,Statistics","Career development,Health care,Insurance,Medical leave,Parental leave",data analyst
Databricks,Specialist Solutions Architect - Data Engineering (Public Sector),"Remote - Washington, DC",Full Time,Senior-level,115000.0,"APIs,Architecture,AWS,Azure,Big Data,CI/CD","Career development,Flex hours,Flex vacation,Health care,Insurance",data engineer
Zeta,Data Scientist,Bengaluru,Full Time,Entry-level,40000.0,"Banking,Chatbots,Data analysis,Engineering,FinTech,Machine Learning","Career development,Startup environment,,,",data scientist
Tempus,Senior Data Quality Assurance Specialist,"Chicago, IL",Full Time,Senior-level,69000.0,"Biology,Computer Science,Data quality,Data visualization,Engineering,Genetics",",,,,",other
Twenty First Group,Senior Data Science Engineer,"London, England, United Kingdom",Full Time,Mid-level,51000.0,"AWS,Bayesian,Docker,Engineering,Git,Machine Learning","Career development,Flex hours,Health care,,",data scientist
Faraday Future,Senior Big Data Engineer,"San Jose, California, United States",Full Time,Senior-level,,"Airflow,AWS,Azure,Big Data,Computer Science,Data analysis","Equity,Relocation support,,,",big data engineer
Twilio,"Senior Data Scientist, Marketing",Remote - US,Full Time,Senior-level,120000.0,"Airflow,AWS,Data Analytics,Data pipelines,Engineering,Looker","401(k) matching,Career development,Competitive pay,Equity,Flex vacation",data scientist
Current,Master Data Team Manager,"Greenville, SC, United States",Full Time,Executive-level,73000.0,"Data quality,Industrial,,,,","401(k) matching,,,,",other
Block,"Senior Data Engineer, Enterprise Engineering","Toronto, ON, Canada",Full Time,Senior-level,115000.0,"Airflow,AWS,Banking,Blockchain,Crypto,CX","Career development,Parental leave,Wellness,,",data engineer
Foursquare,Data Operations Associate,Serbia,Full Time,Entry-level,39000.0,"Architecture,AWS,DataOps,Engineering,Privacy,Python","Career development,Flex hours,Flex vacation,Health care,Home office stipend",other
Fetch,Data Analyst,"Chicago, Illinois, United States",Full Time,Senior-level,92000.0,"Airflow,AWS,Big Data,Bitbucket,Data Analytics,Excel","401(k) matching,Equity,Flex hours,Flex vacation,Health care",data analyst
Databricks,Specialist Architect : Big Data,Remote - India,Full Time,Senior-level,49000.0,"Architecture,AWS,Azure,Big Data,Consulting,Data Analytics","Career development,Health care,Insurance,Medical leave,Parental leave",big data engineer
Databricks,"Product Marketing Manager, Data Engineering",United States,Full Time,Senior-level,115000.0,"Computer Science,Databricks,Engineering,ETL,Excel,MLFlow","Career development,Conferences,Flex vacation,Health care,Insurance",data engineer
Srijan Technologies,Senior Data Engineer - Data Bricks,"Gurgaon, Noida, Kolkata, Jaipur, Ahmedabad, Indore, Pune, ",Full Time,Senior-level,115000.0,"Agile,APIs,Azure,Databricks,Data management,Data pipelines","Career development,,,,",data engineer
TripAdvisor,"Senior Data Scientist - Viator, London, Oxford, UK Remote","London, United Kingdom",Full Time,Senior-level,129000.0,"A/B testing,Bayesian,CI/CD,Computer Vision,Deep Learning,E-commerce","Career development,Competitive pay,Fitness / gym,Health care,Insurance",data scientist
Moonpig,Data Engineer,London/Manchester (Hybrid),Full Time,Senior-level,115000.0,"Airflow,Architecture,AWS,Data pipelines,Engineering,FiveTran",",,,,",data engineer
Agoda,"Data Analyst (Bangkok Based, Relocation Provided)",Bangkok,Full Time,Senior-level,92000.0,"A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis","Career development,,,,",data analyst
Business & Decision,Azure Data Architect,"Marseille, France",Full Time,Senior-level,62000.0,"Architecture,Azure,Business Intelligence,DevOps,Machine Learning,SQL",",,,,",data architect
Tesco Bengaluru,Senior Applied Data Scientist,"Bengaluru, India",Full Time,Senior-level,50000.0,"Excel,Finance,GitHub,Mathematics,R,SQL",",,,,",data scientist
Umniah,Data Scientist,"Amman, Amman Governorate, Jordan",Full Time,Entry-level,40000.0,"APIs,Architecture,Clustering,Computer Science,Data analysis,Data Analytics","Career development,,,,",data scientist
Deliveroo,Data Operations & Insights Manager,"London, England, United Kingdom",Full Time,Mid-level,51000.0,"BigQuery,Data analysis,Data Analytics,DataOps,E-commerce,Engineering","Career development,Parental leave,,,",other
Uni Systems,Data Architect,"Luxembourg, Luxembourg, Luxembourg",Full Time,Mid-level,135000.0,"Architecture,Computer Science,Data governance,Data management,Security,","Career development,,,,",data architect
Charger Logistics Inc,Operations Data Analyst (Tableau),"Monterrey, Nuevo Leon, Mexico",Full Time,Mid-level,65000.0,"Agile,Scrum,Tableau,,,","Career development,Competitive pay,Health care,Insurance,",data analyst
Veritone,Data Analyst Engineer,United States,Full Time,Senior-level,,"Agile,APIs,AWS,Business Analytics,Business Intelligence,Data Analytics","401(k) matching,Career development,Competitive pay,Equity,Flex hours",data analyst
Vericast,Product Manager- Data Visualization & Analyst,"Austin, TX, United States",Full Time,,100000.0,"Business Intelligence,Data visualization,Excel,Finance,Security,","Career development,Flex hours,Flex vacation,Health care,Insurance",other
Western Digital,Data Science in Product Design Engineering,"Amphoe Si Maha Phot, Thailand",Full Time,Entry-level,35000.0,"Computer Science,Data analysis,Data Analytics,Engineering,JavaScript,Python",",,,,",data scientist
Agoda,"Senior Data Analyst (Bangkok Based, Relocation Provided)",Bangkok,Full Time,Senior-level,92000.0,"A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis","Career development,,,,",data analyst
Sigma Defense,Operations Planner Data Management Technician,"San Diego, California, United States",Full Time,Senior-level,80000.0,"Architecture,Data management,Excel,Security,,","Career development,Competitive pay,Flex vacation,Health care,Insurance",other
Publicis Groupe,Senior Associate Data Engineering,"Houston, TX, United States",Full Time,Mid-level,,"Agile,Architecture,AWS,Azure,BigQuery,Bigtable","Career development,Flex hours,Flex vacation,Parental leave,",data engineer
Addepar,Data Operations Client Onboarding,"Pune, India",Full Time,Senior-level,49000.0,"DataOps,Engineering,FinTech,Jira,R,R&D","Career development,Flex hours,Health care,Startup environment,",other
Bosch Group,Data Management Internship,"Beograd, Serbia",Internship,Entry-level,,"Computer Science,Data management,Engineering,Excel,Industrial,Power BI","Flex hours,,,,",other
Palo Alto Networks,Sr Big Data Engineer,"Melbourne, Australia",Full Time,Senior-level,30000.0,"Agile,Architecture,Athena,AWS,Big Data,BigQuery","Career development,Medical leave,,,",big data engineer
